,Topic0,Topic1,Topic2,Topic3,Topic4,dominant_topic
Doc175,0.03,0.03,0.03,0.87,0.03,3
Doc176,0.04,0.04,0.04,0.04,0.84,4
Doc177,0.04,0.04,0.04,0.82,0.05,3
Doc178,0.04,0.04,0.04,0.47,0.42,3
Doc179,0.03,0.03,0.03,0.46,0.45,3
Doc180,0.04,0.04,0.09,0.04,0.8,4
Doc181,0.03,0.03,0.03,0.03,0.88,4
Doc182,0.03,0.03,0.03,0.62,0.29,3
Doc183,0.03,0.03,0.03,0.03,0.89,4
Doc184,0.03,0.03,0.06,0.03,0.84,4
Doc185,0.05,0.05,0.05,0.78,0.06,3
Doc186,0.03,0.03,0.03,0.03,0.88,4
Doc187,0.04,0.04,0.04,0.84,0.04,3
Doc188,0.04,0.04,0.04,0.04,0.85,4
Doc189,0.03,0.03,0.03,0.03,0.88,4
Doc190,0.05,0.05,0.05,0.05,0.81,4
Doc191,0.03,0.03,0.03,0.05,0.87,4
Doc192,0.04,0.04,0.04,0.04,0.84,4
Doc193,0.04,0.04,0.04,0.61,0.26,3
Doc194,0.03,0.03,0.03,0.63,0.27,3
Doc195,0.04,0.04,0.04,0.04,0.85,4
Doc196,0.04,0.07,0.04,0.04,0.82,4
Doc197,0.04,0.04,0.04,0.84,0.04,3
Doc198,0.03,0.03,0.06,0.03,0.85,4
Doc199,0.03,0.03,0.03,0.03,0.88,4
Doc200,0.03,0.03,0.03,0.87,0.03,3
Doc201,0.04,0.04,0.04,0.04,0.85,4
Doc202,0.04,0.04,0.04,0.04,0.84,4
Doc203,0.03,0.03,0.03,0.03,0.89,4
Doc204,0.04,0.04,0.04,0.42,0.46,4
Doc205,0.04,0.04,0.04,0.04,0.83,4
Doc206,0.04,0.04,0.04,0.29,0.59,4
Doc207,0.03,0.04,0.03,0.74,0.16,3
Doc208,0.03,0.03,0.03,0.46,0.46,3
Doc209,0.03,0.03,0.03,0.03,0.86,4
Doc210,0.03,0.07,0.03,0.83,0.03,3
Doc211,0.04,0.11,0.04,0.11,0.71,4
Doc212,0.03,0.03,0.03,0.03,0.87,4
Doc213,0.03,0.03,0.04,0.86,0.04,3
Doc214,0.04,0.04,0.04,0.04,0.85,4
Doc215,0.03,0.03,0.03,0.85,0.04,3
Doc216,0.03,0.03,0.03,0.03,0.89,4
Doc217,0.04,0.04,0.27,0.04,0.6,4
Doc218,0.04,0.04,0.04,0.04,0.84,4
Doc219,0.04,0.04,0.04,0.04,0.85,4
Doc220,0.03,0.03,0.03,0.03,0.87,4
Doc221,0.03,0.03,0.03,0.13,0.78,4
Doc222,0.03,0.03,0.03,0.87,0.03,3
Doc223,0.03,0.03,0.03,0.03,0.87,4
Doc224,0.04,0.04,0.04,0.85,0.04,3
Doc225,0.04,0.04,0.04,0.85,0.04,3
Doc226,0.03,0.03,0.03,0.05,0.87,4
Doc227,0.04,0.04,0.04,0.84,0.04,3
Doc228,0.08,0.08,0.66,0.09,0.09,2
Doc229,0.03,0.03,0.03,0.03,0.89,4
Doc230,0.03,0.03,0.03,0.03,0.87,4
Doc231,0.03,0.03,0.03,0.55,0.37,3
Doc232,0.03,0.03,0.03,0.03,0.88,4
Doc233,0.04,0.04,0.04,0.04,0.86,4
Doc234,0.04,0.04,0.04,0.04,0.86,4
Doc235,0.04,0.04,0.04,0.04,0.84,4
Doc236,0.03,0.03,0.1,0.03,0.81,4
Doc237,0.03,0.03,0.03,0.03,0.87,4
Doc238,0.03,0.03,0.03,0.2,0.7,4
Doc239,0.04,0.04,0.08,0.04,0.8,4
Doc240,0.05,0.05,0.05,0.05,0.8,4
Doc241,0.03,0.05,0.04,0.03,0.85,4
Doc242,0.03,0.03,0.03,0.03,0.87,4
Doc243,0.03,0.03,0.03,0.03,0.88,4
Doc244,0.05,0.05,0.05,0.05,0.8,4
Doc245,0.05,0.05,0.05,0.05,0.8,4
Doc246,0.06,0.06,0.06,0.06,0.77,4
Doc247,0.04,0.04,0.04,0.59,0.29,3
Doc248,0.04,0.04,0.04,0.04,0.83,4
Doc249,0.04,0.04,0.04,0.09,0.81,4
Doc250,0.03,0.03,0.07,0.31,0.55,4
Doc251,0.07,0.72,0.07,0.07,0.07,1
Doc252,0.03,0.03,0.09,0.06,0.78,4
Doc253,0.04,0.04,0.04,0.04,0.85,4
Doc254,0.04,0.04,0.27,0.05,0.59,4
Doc255,0.03,0.04,0.03,0.03,0.89,4
Doc256,0.03,0.03,0.03,0.03,0.89,4
Doc257,0.03,0.03,0.03,0.39,0.53,4
Doc258,0.04,0.13,0.04,0.04,0.76,4
Doc259,0.04,0.04,0.04,0.04,0.85,4
Doc260,0.03,0.03,0.03,0.04,0.86,4
Doc261,0.03,0.03,0.03,0.03,0.88,4
Doc262,0.03,0.04,0.03,0.09,0.81,4
Doc263,0.03,0.03,0.03,0.03,0.88,4
Doc264,0.03,0.03,0.03,0.27,0.64,4
Doc265,0.04,0.04,0.04,0.04,0.85,4
Doc266,0.04,0.04,0.04,0.04,0.84,4
Doc267,0.03,0.03,0.03,0.88,0.03,3
Doc268,0.03,0.03,0.03,0.03,0.86,4
Doc269,0.04,0.04,0.04,0.04,0.84,4
Doc270,0.03,0.03,0.03,0.03,0.89,4
Doc271,0.03,0.03,0.03,0.03,0.87,4
Doc272,0.04,0.04,0.04,0.04,0.86,4
