cosine_sim_cluster
82
11
12
49
12
2
44
87
2
2
2
2
66
86
63
76
65
75
60
91
62
57
86
64
70
4
30
49
9
58
59
83
3
18
23
20
78
17
1
29
26
10
87
27
29
44
66
82
68
76
57
9
46
3
31
72
11
6
20
3
22
46
46
82
32
13
54
51
54
83
34
6
13
6
56
11
13
37
28
71
14
71
12
31
65
89
31
7
76
43
47
39
41
7
81
3
73
10
74
70
67
27
47
57
54
70
73
12
63
41
42
74
60
26
22
32
23
84
83
35
4
39
3
45
55
67
35
6
3
11
48
73
74
38
12
72
47
66
91
46
63
44
12
90
42
91
88
44
86
7
82
33
60
15
3
65
61
37
15
25
74
21
50
72
44
52
72
11
1
68
3
8
15
3
85
21
55
50
50
67
57
28
24
3
89
64
59
22
8
38
58
68
52
17
19
8
3
19
80
4
23
28
28
10
79
36
13
67
16
5
67
78
69
69
57
25
34
47
29
28
34
40
24
5
66
67
84
79
48
3
87
16
84
36
46
80
85
68
39
49
62
4
86
88
56
56
31
66
27
40
18
61
72
28
83
9
10
18
77
45
77
32
38
4
77
90
36
70
32
59
33
86
56
21
23
25
30
3
16
23
40
53
53
64
75
87
41
85
42
8
79
19
64
39
29
81
21
77
91
66
12
42
5
70
83
5
11
80
51
88
41
80
83
66
89
