Country Name,Country Code,Indicator Name,Indicator Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Upper middle income,UMC,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Uruguay,URY,Wholesale price index (2010 = 100),FP.WPI.TOTL,77.82375199,91.00657214,92.92902774,100,115.9300801,123.3804944,127.6462926,141.5916578,151.2672959,156.3376949,,,
United States,USA,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Uzbekistan,UZB,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
St. Vincent and the Grenadines,VCT,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
"Venezuela, RB",VEN,Wholesale price index (2010 = 100),FP.WPI.TOTL,49.10926923,61.05564365,78.94228384,100,122.1080406,141.3765381,194.4413347,305.7180116,751.6161404,4005.102188,,,
British Virgin Islands,VGB,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Vietnam,VNM,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Vanuatu,VUT,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
World,WLD,Wholesale price index (2010 = 100),FP.WPI.TOTL,110.0352391,120.3108947,115.4908661,,,,,,,,,,
Samoa,WSM,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Kosovo,XKX,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
"Yemen, Rep.",YEM,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
South Africa,ZAF,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Zambia,ZMB,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Zimbabwe,ZWE,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
