Country Name,Country Code,Indicator Name,Indicator Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cyprus,CYP,Wholesale price index (2010 = 100),FP.WPI.TOTL,91.10342881,98.20798645,99.33681388,100,102.9137858,105.0021166,,,,,,,
Czech Republic,CZE,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Germany,DEU,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Djibouti,DJI,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Dominica,DMA,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Denmark,DNK,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Dominican Republic,DOM,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Algeria,DZA,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Early-demographic dividend,EAR,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
East Asia & Pacific,EAS,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Europe & Central Asia,ECS,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Ecuador,ECU,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
"Egypt, Arab Rep.",EGY,Wholesale price index (2010 = 100),FP.WPI.TOTL,77.68520377,94.10258984,88.79241116,100,114.7560731,117.5767918,121.5217828,126.7767517,122.8066653,111.4836378,,,
Euro area,EMU,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Eritrea,ERI,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Spain,ESP,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Estonia,EST,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Ethiopia,ETH,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
European Union,EUU,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Finland,FIN,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Fiji,FJI,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
France,FRA,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Faroe Islands,FRO,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Gabon,GAB,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
United Kingdom,GBR,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Georgia,GEO,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Ghana,GHA,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Gibraltar,GIB,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Guinea,GIN,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
"Gambia, The",GMB,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Guinea-Bissau,GNB,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Equatorial Guinea,GNQ,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Greece,GRC,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Grenada,GRD,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Greenland,GRL,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Guatemala,GTM,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Guam,GUM,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Guyana,GUY,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
High income,HIC,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
"Hong Kong SAR, China",HKG,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Honduras,HND,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
