Exports??and??imports??(%??of??GDP) rank,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
111, Indonesia,46.7,50.2,49.6,48.6,48.1,41.9,37.4,39.4,43
65, Iran (Islamic Republic of),43.8,43.2,47.4,50.3,44.6,39,43.2,48.8,0
120, Iraq,73.5,72.2,73.5,75.7,78.3,76.8,73.1,74.1,81.2
3, Ireland,189.4,188.4,191.4,188.2,201.5,215.4,224.8,209.4,209.8
22, Israel,67.9,71.5,72,65.5,62.9,59.4,58,56.8,0
29, Italy,52.3,55.6,56.2,55.5,55.8,56.9,56,59.4,61
96, Jamaica,80.9,83.8,82,83.3,84.8,76.1,75.9,82.6,0
19, Japan,28.6,30.4,30.6,34.1,37.5,35.6,31.5,34.6,0
102, Jordan,116.9,121.3,120.6,114.2,112.4,97,90.1,91.5,89.5
50, Kazakhstan,74.1,73.1,73.7,65.4,65,53,60.3,60.6,0
147, Kenya,54.2,60.4,57.8,53.1,51.3,44.2,37.6,37.5,36.2
132, Kiribati,91.5,98.6,104.9,91.3,102.4,110.1,112.1,105.2,0
22, Korea (Republic of),95.7,110,109.9,102.8,95.3,83.7,77.7,80.8,83
57, Kuwait,97,99.1,101,97.6,100,98.7,96,98.4,0
122, Kyrgyzstan,133.2,136.2,139.7,134,125.1,111,105.8,100.6,101.1
140, Lao People's Democratic Republic,84.7,91.7,98.2,98.2,99.1,85.8,75.1,75.8,0
39, Latvia,108.8,120.6,127.1,124.2,122.9,121.3,118.8,122.1,118.4
93, Lebanon,96,101.1,94.7,89.3,81.9,74.1,72,72.5,62.9
164, Lesotho,142,138.6,139,124.9,117.9,121.9,123.6,0,0
176, Liberia,111.8,116.3,122.2,131,137,126,121.7,123,120.9
110, Libya,107.7,99.6,114.4,135.3,138.9,114.2,70.2,72.6,118.4
34, Lithuania,132.6,152.5,162.4,166.9,160.1,152.1,146.9,159,162
21, Luxembourg,316.2,323.4,341.9,349.2,392.8,416.4,413.5,412.9,415.5
162, Madagascar,68,69.1,67.6,68.8,69.9,67.6,69.6,74.7,0
172, Malawi,57.6,48.8,67.9,78.3,73.3,64.9,77.9,65.3,0
61, Malaysia,157.9,154.9,147.8,142.7,138.3,133.5,128.8,135.8,132.3
104, Maldives,143,170.8,160.5,161.1,163.7,143.9,143.8,139.9,0
184, Mali,58,53.9,58.7,64.8,60.6,63.6,63.8,61.7,61.4
28, Malta,307.4,318.6,325.8,307.7,285.5,298.2,290.1,280.4,267.8
117, Marshall Islands,157.8,152.7,155.5,165.5,157.3,142.6,111.5,120.3,0
161, Mauritania,111.9,118.6,132.5,121.9,104.9,109.4,100.5,125,125.7
66, Mauritius,113.5,117.5,119.5,110,108.1,105,98,97.6,94.9
76, Mexico,60.8,63.5,65.8,63.8,65,71.2,76.2,77.1,80.3
135, Micronesia (Federated States of),104.5,106.2,110.7,112,99.6,103.8,99,0,0
107, Moldova (Republic of),87.9,98.6,96.3,95.7,93.2,89.3,87.6,85.6,86.7
92, Mongolia,103.3,127,109.6,100.3,109.3,90.3,95.6,117.1,123.8
52, Montenegro,99.8,106.7,111.8,102.8,100.1,102.7,103.4,105.6,110.6
121, Morocco,75.2,83.4,85.1,80,81.8,77.2,80.6,83.7,87.1
180, Mozambique,77.7,88.3,110.8,114.4,118.1,104.2,111.2,113.4,117.3
145, Myanmar,0.2,0.2,22.4,38.6,42.3,47.4,37,48,0
130, Namibia,108.4,103,103.6,99.2,102.1,107.1,103.2,84.1,83.7
0, Nauru,0,0,121.2,154.1,165.1,147,150.6,0,0
147, Nepal,46,41.8,43.7,48.1,52.3,53.1,48.8,52,54.3
10, Netherlands,131.5,142.5,149.3,149.5,150.1,157.8,148.9,155.2,155.3
14, New Zealand,58.2,59.2,57,56.1,55.2,54.8,52.1,54.2,0
126, Nicaragua,100.4,111.8,115.2,111,106.7,98.2,93.8,96,93.3
189, Niger,71.3,68.7,61.2,61.7,60.3,59.1,48.7,49.6,0
158, Nigeria,43.3,53.3,44.5,31,30.9,21.4,20.7,26.3,0
82, North Macedonia,97.9,113.2,112.2,104.9,112.5,113.7,116.2,124.6,133.2
1, Norway,68.2,69.6,68.1,67.5,68.6,69.8,68.8,69.3,70.6
47, Oman,106.9,115.9,116.4,128.5,117.3,110.1,94.5,101.4,108.1
152, Pakistan,32.9,32.9,32.8,33.3,30.9,27.7,25.3,25.8,28
55, Palau,123.9,138.4,142.8,139.2,146.9,124.9,119.4,124.2,0
119," Palestine, State of",74.4,71.9,72.4,71.1,73.8,77.9,74.5,74.2,79.6
67, Panama,148.3,162.5,158.1,137.6,119.1,99.9,87.3,87.6,0
98, Paraguay,78,76.4,72.6,70.6,67.6,64.5,65.4,68.7,69.8
82, Peru,51.7,56,52.6,49.8,46.8,45.2,45.4,47.5,49
106, Philippines,71.4,67.7,64.9,60.2,61.5,62.7,65.5,71.9,76.1
32, Poland,82.1,87.1,89.3,90.7,93.7,95.9,100.4,104.5,107.2
