"Data Source","World Development Indicators",

"Last Updated Date","2020-09-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Belarus","BLR","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belize","BLZ","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","53.1568525827586","58.7383221039482","69.9012611463275","83.3047615250701","100","119.204241916836","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Wholesale price index (2010 = 100)","FP.WPI.TOTL","1.65503371413424E-13","2.2894299504678E-13","3.5081911742143E-13","6.09180486833538E-13","1.16732909980406E-12","1.76450208692066E-12","2.41370757291071E-12","3.02629018469487E-12","3.75454504398352E-12","4.50961665269562E-12","5.50503838122441E-12","6.6060460574693E-12","7.8340930809732E-12","9.1468330026498E-12","1.18146592950893E-11","1.50329894256513E-11","2.10817662360918E-11","2.96459249066026E-11","4.11949374931293E-11","6.39742158491144E-11","1.33866250514271E-10","2.85204274241834E-10","5.50874009152036E-10","1.47290426560509E-09","4.95395917450199E-09","1.63002707696252E-08","4.34673887190005E-08","1.41269013336752E-07","1.10841841233451E-06","1.60104881781652E-05","0.000448293668988626","0.00226240513717611","0.0245579849229487","0.527546098627216","12.5502983941601","19.9251808268947","21.1067250615441","24.4982434171623","26.3978936129347","30.9586571631225","37.5102650073273","43.8648149576469","53.3698714662287","69.7403463560925","73.8068772146328","72.0197451102269","69.3764773670766","78.856580266686","95.9765708296848","93.644996347699","100","117.645679925351","129.40772231019","135.716176139208","140.62750008696","153.055153525189","184.298433064591","","","",
"Barbados","BRB","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
