,Country Code,Year,Country Name
199,AFG,2007,Afghanistan
200,AFG,2007,Afghanistan
201,AFG,2007,Afghanistan
202,AFG,2007,Afghanistan
203,AFG,2007,Afghanistan
204,AFG,2007,Afghanistan
205,AFG,2007,Afghanistan
206,AFG,2007,Afghanistan
207,AFG,2007,Afghanistan
208,AFG,2007,Afghanistan
209,AFG,2007,Afghanistan
210,AFG,2007,Afghanistan
211,AFG,2007,Afghanistan
212,AFG,2007,Afghanistan
213,AFG,2007,Afghanistan
214,AFG,2007,Afghanistan
215,AFG,2007,Afghanistan
216,AFG,2007,Afghanistan
217,AFG,2007,Afghanistan
218,AFG,2007,Afghanistan
219,AFG,2007,Afghanistan
220,AFG,2007,Afghanistan
221,AFG,2007,Afghanistan
222,AFG,2007,Afghanistan
223,AFG,2007,Afghanistan
224,AFG,2008,Afghanistan
225,AFG,2008,Afghanistan
226,AFG,2008,Afghanistan
227,AFG,2008,Afghanistan
228,AFG,2008,Afghanistan
229,AFG,2008,Afghanistan
230,AFG,2008,Afghanistan
231,AFG,2008,Afghanistan
232,AFG,2008,Afghanistan
233,AFG,2008,Afghanistan
234,AFG,2008,Afghanistan
235,AFG,2008,Afghanistan
236,AFG,2008,Afghanistan
237,AFG,2008,Afghanistan
238,AFG,2008,Afghanistan
239,AFG,2008,Afghanistan
240,AFG,2008,Afghanistan
241,AFG,2008,Afghanistan
242,AFG,2008,Afghanistan
243,AFG,2008,Afghanistan
244,AFG,2008,Afghanistan
245,AFG,2008,Afghanistan
246,AFG,2008,Afghanistan
247,AFG,2008,Afghanistan
248,AFG,2008,Afghanistan
249,AFG,2008,Afghanistan
250,AFG,2008,Afghanistan
251,AFG,2008,Afghanistan
252,AFG,2009,Afghanistan
253,AFG,2009,Afghanistan
254,AFG,2009,Afghanistan
255,AFG,2009,Afghanistan
256,AFG,2009,Afghanistan
257,AFG,2009,Afghanistan
258,AFG,2009,Afghanistan
259,AFG,2009,Afghanistan
260,AFG,2009,Afghanistan
261,AFG,2009,Afghanistan
262,AFG,2009,Afghanistan
263,AFG,2009,Afghanistan
264,AFG,2009,Afghanistan
265,AFG,2009,Afghanistan
266,AFG,2009,Afghanistan
267,AFG,2009,Afghanistan
268,AFG,2009,Afghanistan
269,AFG,2009,Afghanistan
270,AFG,2009,Afghanistan
271,AFG,2009,Afghanistan
272,AFG,2009,Afghanistan
273,AFG,2009,Afghanistan
274,AFG,2009,Afghanistan
275,AFG,2009,Afghanistan
276,AFG,2009,Afghanistan
277,AFG,2009,Afghanistan
278,AFG,2009,Afghanistan
279,AFG,2009,Afghanistan
280,AFG,2010,Afghanistan
281,AFG,2010,Afghanistan
282,AFG,2010,Afghanistan
283,AFG,2010,Afghanistan
284,AFG,2010,Afghanistan
285,AFG,2010,Afghanistan
286,AFG,2010,Afghanistan
287,AFG,2010,Afghanistan
288,AFG,2010,Afghanistan
289,AFG,2010,Afghanistan
290,AFG,2010,Afghanistan
291,AFG,2010,Afghanistan
292,AFG,2010,Afghanistan
293,AFG,2010,Afghanistan
294,AFG,2010,Afghanistan
295,AFG,2010,Afghanistan
296,AFG,2010,Afghanistan
297,AFG,2010,Afghanistan
298,AFG,2010,Afghanistan
299,AFG,2010,Afghanistan
300,AFG,2010,Afghanistan
301,AFG,2010,Afghanistan
302,AFG,2010,Afghanistan
303,AFG,2010,Afghanistan
304,AFG,2010,Afghanistan
305,AFG,2010,Afghanistan
306,AFG,2010,Afghanistan
