,Country Code,Year,Country Name,"Children In Employment, Wage Workers (% Of Children In Employment, Ages 7-14)","Unemployment, Total (% Of Total Labor Force) (Modeled Ilo Estimate)","Share Of Youth Not In Education, Employment Or Training, Total (% Of Youth Population)",Unemployment With Intermediate Education (% Of Total Labor Force With Intermediate Education),Unemployment With Advanced Education (% Of Total Labor Force With Advanced Education),"Unemployment, Youth Total (% Of Total Labor Force Ages 15-24) (Modeled Ilo Estimate)","Labor Force, Total","Labor Force Participation Rate, Total (% Of Total Population Ages 15+) (Modeled Ilo Estimate)",Gdp Per Person Employed (Constant 2017 Ppp $),"Wage And Salaried Workers, Total (% Of Total Employment) (Modeled Ilo Estimate)","Employment To Population Ratio, 15+, Total (%) (Modeled Ilo Estimate)",Coverage Of Social Insurance Programs (% Of Population),Coverage Of Social Safety Net Programs (% Of Population),Coverage Of Unemployment Benefits And Almp (% Of Population)
0,AFG,2000,Afghanistan,,11.5170002,,,,18.17300034,5037884.0,47.43799973,,7.797999859,41.97399902,,,
1,AFG,2000,Afghanistan,,11.5170002,,,,18.17300034,5037884.0,47.43799973,,7.797999859,41.97399902,,,
2,AFG,2000,Afghanistan,,11.5170002,,,,18.17300034,5037884.0,47.43799973,,7.797999859,41.97399902,,,
3,AFG,2000,Afghanistan,,11.5170002,,,,18.17300034,5037884.0,47.43799973,,7.797999859,41.97399902,,,
4,AFG,2000,Afghanistan,,11.5170002,,,,18.17300034,5037884.0,47.43799973,,7.797999859,41.97399902,,,
5,AFG,2000,Afghanistan,,11.5170002,,,,18.17300034,5037884.0,47.43799973,,7.797999859,41.97399902,,,
6,AFG,2000,Afghanistan,,11.5170002,,,,18.17300034,5037884.0,47.43799973,,7.797999859,41.97399902,,,
7,AFG,2000,Afghanistan,,11.5170002,,,,18.17300034,5037884.0,47.43799973,,7.797999859,41.97399902,,,
8,AFG,2000,Afghanistan,,11.5170002,,,,18.17300034,5037884.0,47.43799973,,7.797999859,41.97399902,,,
9,AFG,2000,Afghanistan,,11.5170002,,,,18.17300034,5037884.0,47.43799973,,7.797999859,41.97399902,,,
10,AFG,2000,Afghanistan,,11.5170002,,,,18.17300034,5037884.0,47.43799973,,7.797999859,41.97399902,,,
11,AFG,2000,Afghanistan,,11.5170002,,,,18.17300034,5037884.0,47.43799973,,7.797999859,41.97399902,,,
12,AFG,2000,Afghanistan,,11.5170002,,,,18.17300034,5037884.0,47.43799973,,7.797999859,41.97399902,,,
13,AFG,2000,Afghanistan,,11.5170002,,,,18.17300034,5037884.0,47.43799973,,7.797999859,41.97399902,,,
14,AFG,2000,Afghanistan,,11.5170002,,,,18.17300034,5037884.0,47.43799973,,7.797999859,41.97399902,,,
15,AFG,2000,Afghanistan,,11.5170002,,,,18.17300034,5037884.0,47.43799973,,7.797999859,41.97399902,,,
16,AFG,2000,Afghanistan,,11.5170002,,,,18.17300034,5037884.0,47.43799973,,7.797999859,41.97399902,,,
17,AFG,2000,Afghanistan,,11.5170002,,,,18.17300034,5037884.0,47.43799973,,7.797999859,41.97399902,,,
18,AFG,2000,Afghanistan,,11.5170002,,,,18.17300034,5037884.0,47.43799973,,7.797999859,41.97399902,,,
19,AFG,2000,Afghanistan,,11.5170002,,,,18.17300034,5037884.0,47.43799973,,7.797999859,41.97399902,,,
20,AFG,2000,Afghanistan,,11.5170002,,,,18.17300034,5037884.0,47.43799973,,7.797999859,41.97399902,,,
21,AFG,2000,Afghanistan,,11.5170002,,,,18.17300034,5037884.0,47.43799973,,7.797999859,41.97399902,,,
22,AFG,2000,Afghanistan,,11.5170002,,,,18.17300034,5037884.0,47.43799973,,7.797999859,41.97399902,,,
23,AFG,2000,Afghanistan,,11.5170002,,,,18.17300034,5037884.0,47.43799973,,7.797999859,41.97399902,,,
24,AFG,2000,Afghanistan,,11.5170002,,,,18.17300034,5037884.0,47.43799973,,7.797999859,41.97399902,,,
25,AFG,2000,Afghanistan,,11.5170002,,,,18.17300034,5037884.0,47.43799973,,7.797999859,41.97399902,,,
26,AFG,2000,Afghanistan,,11.5170002,,,,18.17300034,5037884.0,47.43799973,,7.797999859,41.97399902,,,
27,AFG,2000,Afghanistan,,11.5170002,,,,18.17300034,5037884.0,47.43799973,,7.797999859,41.97399902,,,
28,AFG,2001,Afghanistan,,11.51299953,,,,18.13599968,5265763.0,47.61999893,,7.690000057000001,42.13700104,,,
29,AFG,2001,Afghanistan,,11.51299953,,,,18.13599968,5265763.0,47.61999893,,7.690000057000001,42.13700104,,,
30,AFG,2001,Afghanistan,,11.51299953,,,,18.13599968,5265763.0,47.61999893,,7.690000057000001,42.13700104,,,
31,AFG,2001,Afghanistan,,11.51299953,,,,18.13599968,5265763.0,47.61999893,,7.690000057000001,42.13700104,,,
32,AFG,2001,Afghanistan,,11.51299953,,,,18.13599968,5265763.0,47.61999893,,7.690000057000001,42.13700104,,,
33,AFG,2001,Afghanistan,,11.51299953,,,,18.13599968,5265763.0,47.61999893,,7.690000057000001,42.13700104,,,
34,AFG,2001,Afghanistan,,11.51299953,,,,18.13599968,5265763.0,47.61999893,,7.690000057000001,42.13700104,,,
35,AFG,2001,Afghanistan,,11.51299953,,,,18.13599968,5265763.0,47.61999893,,7.690000057000001,42.13700104,,,
36,AFG,2001,Afghanistan,,11.51299953,,,,18.13599968,5265763.0,47.61999893,,7.690000057000001,42.13700104,,,
37,AFG,2001,Afghanistan,,11.51299953,,,,18.13599968,5265763.0,47.61999893,,7.690000057000001,42.13700104,,,
38,AFG,2001,Afghanistan,,11.51299953,,,,18.13599968,5265763.0,47.61999893,,7.690000057000001,42.13700104,,,
39,AFG,2001,Afghanistan,,11.51299953,,,,18.13599968,5265763.0,47.61999893,,7.690000057000001,42.13700104,,,
40,AFG,2001,Afghanistan,,11.51299953,,,,18.13599968,5265763.0,47.61999893,,7.690000057000001,42.13700104,,,
41,AFG,2001,Afghanistan,,11.51299953,,,,18.13599968,5265763.0,47.61999893,,7.690000057000001,42.13700104,,,
42,AFG,2001,Afghanistan,,11.51299953,,,,18.13599968,5265763.0,47.61999893,,7.690000057000001,42.13700104,,,
43,AFG,2001,Afghanistan,,11.51299953,,,,18.13599968,5265763.0,47.61999893,,7.690000057000001,42.13700104,,,
44,AFG,2001,Afghanistan,,11.51299953,,,,18.13599968,5265763.0,47.61999893,,7.690000057000001,42.13700104,,,
45,AFG,2001,Afghanistan,,11.51299953,,,,18.13599968,5265763.0,47.61999893,,7.690000057000001,42.13700104,,,
